,,,freq,level
,,,15733.50745,-66.9897
,,,15758.16812,-66.9897
,,,15782.82879,-66.9897
,,,15807.48946,-66.9897
,,,15832.15013,-64.5897
,,,15856.8108,-64.5897
,,,15881.47147,-64.5897
,,,15906.13214,-66.9897
,,,15930.79281,-66.9897
,,,15955.45348,-66.9897
,,,15980.11415,-66.9897
,,,16004.77482,-66.9897
,,,16029.43549,-60.5897
,,,16054.09616,-60.5897
,,,16078.75683,-66.9897
,,,16103.4175,-66.9897
,,,16128.07817,-66.9897
,,,16152.73884,-64.5897
,,,16177.39951,-64.5897
,,,16202.06018,-60.5897
,,,16226.72085,-66.9897
,,,16251.38152,-66.9897
,,,16276.04219,-66.9897
,,,16300.70286,-64.5897
,,,16325.36353,-66.9897
,,,16350.0242,-66.9897
,,,16374.68487,-66.9897
,,,16399.34554,-66.9897
,,,16424.00621,-66.9897
,,,16448.66688,-66.9897
,,,16473.32755,-66.9897
,,,16497.98822,-66.9897
,,,16522.64889,-66.9897
,,,16547.30956,-66.9897
,,,16571.97023,-64.5897
,,,16596.6309,-66.9897
,,,16621.29157,-66.9897
,,,16645.95224,-66.9897
,,,16670.61291,-66.9897
,,,16695.27358,-64.5897
,,,16719.93425,-60.5897
,,,16744.59492,-64.5897
,,,16769.25559,-66.9897
,,,16793.91626,-66.9897
,,,16818.57693,-66.9897
,,,16843.2376,-64.5897
,,,16867.89827,-66.9897
,,,16892.55894,-64.5897
,,,16917.21961,-64.5897
,,,16941.88028,-64.5897
,,,16966.54095,-66.9897
,,,16991.20162,-66.9897
,,,17015.86229,-66.9897
,,,17040.52296,-66.9897
,,,17065.18363,-66.9897
,,,17089.8443,-66.9897
,,,17114.50497,-64.5897
,,,17139.16564,-66.9897
,,,17163.82631,-61.3897
,,,17188.48698,-66.9897
,,,17213.14765,-66.9897
,,,17237.80832,-66.9897
,,,17262.46899,-66.9897
,,,17287.12966,-66.9897
,,,17311.79033,-64.5897
,,,17336.451,-66.9897
,,,17361.11167,-66.9897
,,,17385.77234,-66.9897
,,,17410.43301,-66.9897
,,,17435.09368,-66.9897
,,,17459.75435,-66.9897
,,,17484.41502,-66.9897
,,,17509.07569,-66.9897
,,,17533.73636,-66.9897
,,,17558.39703,-64.5897
,,,17583.0577,-60.5897
,,,17607.71837,-60.5897
,,,17632.37904,-60.5897
,,,17657.03971,-61.3897
,,,17681.70038,-61.3897
,,,17706.36105,-64.5897
,,,17731.02172,-64.5897
,,,17755.68239,-66.9897
,,,17780.34306,-66.9897
,,,17805.00373,-64.5897
,,,17829.6644,-61.3897
,,,17854.32507,-60.5897
,,,17878.98574,-66.9897
,,,17903.64641,-66.9897
,,,17928.30708,-66.9897
,,,17952.96775,-66.9897
,,,17977.62842,-66.9897
,,,18002.28909,-66.9897
,,,18026.94976,-66.9897
,,,18051.61043,-64.5897
,,,18076.2711,-60.5897
,,,18100.93177,-64.5897
,,,18125.59244,-64.5897
,,,18150.25311,-66.9897
,,,18174.91378,-66.9897
,,,18199.57445,-61.3897
,,,18224.23512,-61.3897
,,,18248.89579,-61.3897
,,,18273.55646,-60.5897
,,,18298.21713,-66.9897
,,,18322.8778,-64.5897
,,,18347.53847,-66.9897
,,,18372.19914,-66.9897
,,,18396.85981,-64.5897
,,,18421.52048,-66.9897
,,,18446.18115,-66.9897
,,,18470.84182,-66.9897
,,,18495.50249,-66.9897
,,,18520.16316,-66.9897
,,,18544.82383,-66.9897
,,,18569.4845,-66.9897
,,,18594.14517,-64.5897
,,,18618.80584,-64.5897
,,,18643.46651,-66.9897
,,,18668.12718,-66.9897
,,,18692.78785,-66.9897
,,,18717.44852,-66.9897
,,,18742.10919,-66.9897
,,,18766.76986,-66.9897
,,,18791.43053,-66.9897
,,,18816.0912,-66.9897
,,,18840.75187,-66.9897
,,,18865.41254,-66.9897
,,,18890.07321,-64.5897
,,,18914.73388,-66.9897
,,,18939.39455,-66.9897
,,,18964.05522,-66.9897
,,,18988.71589,-66.9897
,,,19013.37656,-64.5897
,,,19038.03723,-64.5897
,,,19062.6979,-61.3897
,,,19087.35857,-66.9897
,,,19112.01924,-66.9897
,,,19136.67991,-66.9897
,,,19161.34058,-66.9897
,,,19186.00125,-66.9897
,,,19210.66192,-66.9897
,,,19235.32259,-66.9897
,,,19259.98326,-66.9897
,,,19284.64393,-66.9897
,,,19309.3046,-66.9897
,,,19333.96527,-66.9897
,,,19358.62594,-66.9897
,,,19383.28661,-66.9897
,,,19407.94728,-66.9897
,,,19432.60795,-66.9897
,,,19457.26862,-57.3897
